,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
255,Salinas,66.25,1.0,US,11/09/2019,67.0,-121.66,36.67,78.8,10.29
256,Kohlu,50.23,0.0,PK,11/09/2019,46.0,69.25,29.9,50.23,2.53
257,Osypenko,48.09,75.0,UA,11/09/2019,93.0,34.39,48.04,48.2,11.18
258,Xining,27.77,0.0,CN,11/09/2019,28.0,101.77,36.62,27.77,4.54
259,Santa Cruz del Sur,82.17,0.0,CU,11/09/2019,77.0,-78.0,20.71,82.17,12.93
260,Rosario,64.92,20.0,UY,11/09/2019,82.0,-57.35,-34.31,66.2,18.34
261,Los Llanos de Aridane,66.67,90.0,ES,11/09/2019,56.0,-17.92,28.66,69.8,16.11
262,Lebu,57.2,20.0,ET,11/09/2019,62.0,38.73,8.96,57.2,2.24
263,Barmer,72.3,0.0,IN,11/09/2019,35.0,71.4,25.74,72.3,11.21
264,Bathsheba,78.8,40.0,BB,11/09/2019,88.0,-59.52,13.22,78.8,23.04
265,Dingle,79.95,4.0,PH,11/09/2019,76.0,122.67,11.0,79.95,0.4
266,Kemin,34.41,94.0,KG,11/09/2019,53.0,75.7,42.79,34.41,1.59
267,Salalah,78.8,40.0,OM,11/09/2019,74.0,54.1,17.01,78.8,3.36
268,Antsohihy,78.58,82.0,MG,11/09/2019,78.0,47.99,-14.88,78.58,1.12
269,Kotdwara,62.58,0.0,IN,11/09/2019,61.0,78.53,29.75,62.58,8.01
270,Mosquera,59.0,75.0,CO,11/09/2019,82.0,-74.23,4.71,59.0,3.36
271,Turbat,66.04,0.0,PK,11/09/2019,47.0,63.05,26.0,66.04,2.64
272,Yerbogachen,-0.5,97.0,RU,11/09/2019,92.0,108.01,61.28,-0.5,11.12
273,Abrego,57.54,100.0,CO,11/09/2019,98.0,-73.22,8.08,57.54,2.57
274,Niesky,38.48,55.0,DE,11/09/2019,90.0,14.82,51.29,41.0,4.59
275,Umba,26.82,100.0,RU,11/09/2019,91.0,34.34,66.69,26.82,20.07
276,Narasannapeta,70.63,36.0,IN,11/09/2019,87.0,84.04,18.42,70.63,5.5
277,Palmer,60.91,40.0,AU,11/09/2019,54.0,139.16,-34.85,64.99,8.05
278,Saint-Augustin,34.27,90.0,CA,11/09/2019,64.0,-73.98,45.63,36.0,8.05
279,Nisia Floresta,78.1,20.0,BR,11/09/2019,78.0,-35.21,-6.09,78.8,8.05
280,Petropavlovsk-Kamchatskiy,33.8,40.0,RU,11/09/2019,86.0,158.65,53.05,33.8,2.24
281,Dikson,9.16,100.0,RU,11/09/2019,94.0,80.55,73.51,9.16,14.27
282,Bilibino,2.55,6.0,RU,11/09/2019,59.0,166.44,68.06,2.55,2.93
283,Copiapo,59.0,0.0,CL,11/09/2019,77.0,-70.33,-27.37,59.0,11.41
284,Saint-Francois,37.02,89.0,FR,11/09/2019,86.0,3.91,46.42,41.0,4.7
285,Kiama,68.07,90.0,AU,11/09/2019,34.0,150.86,-34.67,71.01,9.17
286,Obo,70.14,73.0,CF,11/09/2019,93.0,26.49,5.39,70.14,1.74
287,Aklavik,5.27,20.0,CA,11/09/2019,71.0,-135.01,68.22,6.8,11.41
